job_posting_date,job_position,company_name,job_location,job_id,job_link,description,company_profile,enhanced_period_contract,enhanced_location,enhanced_type,enhanced_hours_per_week,enhanced_languages,enhanced_tools,enhanced_tech_skill,enhanced_contact,natural_languages,programming_languages
2025-10-13,Back End Developer,HCL Technologies B.V. Netherland,"Amsterdam, North Holland, Netherlands",4288573933,https://nl.linkedin.com/jobs/view/back-end-developer-at-hcl-technologies-b-v-netherland-4288573933?position=4&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=yGFWu1qcIvZRASXAQhvonA%3D%3D,"Job Role- Java DeveloperLocation - Amsterdam, Netherlands.Dutch Speaking mandatoryJob Description-Java – Java 8, Spring MVC, Springboot, Hibernate, ORM, Java frameworks, REST/JSON, JSP, Servlet, Java Beans, JDBC), EJB-Stateless,JMS, SQL, JUNIT, MOCKITO, REST and SOAP – should be an expert CI/CD – Jenkins, Maven, Nolio, Sonar, Jdepend, Silenium/ fortify, TDD/BDD usage, Cucumber, ELK or Promethius Database – Knowledge on RDBMSStrong on doing Unit testing, Functional testing, Regression testing using framework like KARMA or silenium or FortifyExcellent interaction with PO / CJE and should be able to lead the squads along with having the mind set and experience in terms of discussion with Business owners / users and challenge them , if required Solid Agile experience along with proper Agile ceremonies Excellent social skills Should have the acumen and experience in terms of building frameworks and productsShould have good design pattern knowledge on Singleton Pattern, Factory Pattern, Abstract Factory Pattern, Facade Pattern, Decorator Pattern, Adapter Pattern, Strategy Pattern and Front Controller Pattern. Should have produced white papers and did presentations and contributions to open source community Should have the acumen and experience in terms of building frameworks and productsExperience in development of integration REST API layer between KYCO and several repositories (e.g. master data management system, document repository…)",https://www.linkedin.com/company/hcl-technologies-b.v.-netherland?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsterdam,on-site,,Dutch,"jenkins, maven, nolio, sonar, jdepend, silenium, fortify, karma","Java 8, Spring MVC, Springboot, Hibernate, ORM, REST/JSON, JSP, Servlet, Java Beans, JDBC, EJB-Stateless, JMS, SQL, JUNIT, MOCKITO, REST, SOAP, CI/CD, TDD/BDD, Cucumber, ELK, Promethius, RDBMS, Singleton Pattern, Factory Pattern, Abstract Factory Pattern, Facade Pattern, Decorator Pattern, Adapter Pattern, Strategy Pattern, Front Controller Pattern",,dutch,
2025-09-19,Java Software Engineer,Gerimedica,"Amsterdam, North Holland, Netherlands",4314809374,https://nl.linkedin.com/jobs/view/java-software-engineer-at-gerimedica-4314809374?position=5&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=bJuJFxt6aaAw6ecLGIGIIw%3D%3D,"(Medior/Senior) Java Software Engineer | Amsterdam based | Hybrid | Health Care | Small agile team | SaaS microservices based application | Java 17-21 / Spring / Kubernetes / Gitlab CI / PostgreSQL | Permanent contractAre you a Java Software Engineer? Gerimedica might be your perfect match. We create SaaS software for the Dutch healthcare market. Our software is used by healthcare professionals to access complete patient information at any time, so they can optimise their work processes and execute their profession better. We provide services to more than 120 companies and have 45k users a day. In order to increase our impact even more we have launched a new system in 2022. Our ambitions are big and in order to reach them we are in need of talent!Your ResponsibilitiesYou will be working in a team of highly skilled full stack developers, all with different skill sets and expertise (front-end and back-end). It is not a problem if you are not equally skilled in front-end, as long as you are willing to learn and improve your skills over time. In this role you will be responsible for highlighting and implementing solutions based upon business requirements provided by industry leaders. We expect high quality, well designed, maintainable and efficient code. Your colleagues are there to support you in deciding how to implement those business requirements. You will work in an agile scrum-based environment, with a product owner, architect, scrum master and a team of excellent developers.What You Bring To The TableYou will provide strong technical and design skills with a focus on high-quality, maintainable code. As a senior, you will be willing to help lead and mentor your team from a front-end and back-end design and development perspective. You are a friendly and open person who knows when and how to speak up, and you are able to support and coach the team to ensure that your ideas are executed correctly. You are willing to move out of your comfort zone and try new technologies or different approaches in order to reach our team goals.Knowledge of Java 17Knowledge of Spring and Spring BootFront-end experience (Angular) is a plus!Good communication skillsMotivation and passionWhat You Get From UsA competitive salary.A permanent, 40-hour contract per week (32 hours is also an option).Good work-life balance, a combination of remote working and working in our beautiful office in Amsterdam.The best colleagues from all over the world.A high-end laptop of your choice and a modern development environment.Contribution to your pension scheme.25 holidays.Free lunch and fruit in the office or a working from home allowance.Gerimedica is evolving fast; we currently have 5 development teams. Our teams work on 2 main projects: Ysis EPD and Ysis ECD. Three of our teams are working on Ysis EPD. They work, e.g., on authentication, authorizations, and financial applications, but also on the integration of Ysis with different partners and on the interoperability with some country-wide standards for key organizations. The last 2 teams are working on a new ECD, a product just released in production that is focusing on non-medical care for geriatric and mentally disabled patients.About Your TeamWe are responsible for the safety of Ysis and handling financial tasks such as sending treatment records to insurance companies seamlessly.Our goals are crystal clear. First, our focus is on keeping the authentication server updated with the latest technology for enhanced security. Second, we are dedicated to improving our financial processes through the introduction of new applications. This includes setting new standards, refining communication, and ensuring seamless integration with the responsible organization, Vecozo, as we actively maintain and support changes in this integration. Additionally, we are implementing new integration standards to accommodate upcoming products, further enhancing the adaptability and efficiency of our systems.If you are interestedPlease apply via the button below and upload your CV. In case of questions, please ask Vanessa (v.medeiros@gerimedica.nl).",https://nl.linkedin.com/company/gerimedica2?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsterdam,hybrid,40,"Java, Spring, Angular","kubernetes, gitlab ci, postgresql","Java 17, Spring, Spring Boot",,,java
2025-09-09,Java Developer,ConsultAssistent,"Rotterdam, South Holland, Netherlands",4298210391,https://nl.linkedin.com/jobs/view/java-developer-at-consultassistent-4298210391?position=6&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=UZujoYqi6uXtDmmlPDJpOQ%3D%3D,"ConsultAssistent is a digital medical tool built to improve healthcare outcomes.Doctors often have just 5 minutes per patient. With ConsultAssistent, patients complete many standard questions in advance, giving doctors more time to focus on the real issues.We use adaptive questionnaires that adjust intelligently to each patient, are summarized with AI, and flow directly into the doctor’s EHR. The result: healthcare that is more efficient and personal.Our team is passionate about creating a product that truly adds value for both patients and healthcare providers. As a fast-growing scale-up, we focus on innovation and flexibility, working closely with customers and partners to ensure our solution evolves with the changing needs of the healthcare sector.We’re looking for an enthusiastic mid-level Java Developer to join our team. What You’ll Bring:Experience building and maintaining web applicationsStrong skills in Jakarta/Java EE (APIs, frameworks, design patterns, best practices)Experience with both SQL and NoSQL databasesExperience with testingAffinity with UX and usability engineeringFamiliarity with tools such as IntelliJ, Linux, Docker, Kubernetes, SASS, JSP, Jira/Confluence, and GitHub (CI/CD, distributed version control)Nice to Have (but not required):Experience leading integration projects (FHIR/HL7)Knowledge of medical terminology systems such as SNOMED and ZIBWe’re Looking for Someone Who:Takes ownership of their workCan switch easily between the big picture and the finer detailsThrives in an agile environment and embraces new tools and technologiesCollaborates effectively with colleagues, stakeholders, and clientsHas strong analytical skills and a constant drive to deliver high-quality, sustainable codeCan prioritize effectively and communicates early if challenges arise As a healthcare company, security is our top priority. You’ll work within standards for information security, quality systems, and medical software development. You’ll also play an important role in shaping and managing our software lifecycle management process, ensuring both reliability and safety.What We Offer You:As a Java Developer at ConsultAssistent, you’ll make a meaningful contribution to a product that helps make healthcare better. We value creativity and initiative; as a small company, we offer plenty of room to take ownership of projects that interest you. Our team brings a lot of senior expertise, so you’ll not only make an impact with your code but also have the chance to learn and grow every day.You’ll have the flexibility to organize your work in the way that suits you best. You can work remotely a few days a week, while on Tuesdays and Thursdays we collaborate together in the office.We offer a competitive salary, a dedicated training budget for your professional development, and an NS-Business Card. Our office is located in the centre of Rotterdam, right next to the lively Witte de Withstraat. We’re a small, dedicated team that supports one another, and we regularly organise fun team activities.Sharing and developing knowledge is very important to us. That’s why we work together on issues as much as possible, often via pair programming. We continuously improve our process, experiment frequently, and keep meetings short and valuable. You’ll find a calm development environment here, with a strong focus on learning and growth.(Java-ontwikkelaar)",https://nl.linkedin.com/company/consult-assistent?trk=public_jobs_jserp-result_job-search-card-subtitle,,rotterdam,hybrid,,Java,"intellij, linux, docker, kubernetes, sass, jsp, jira/confluence, github","Jakarta/Java EE, SQL, NoSQL, testing, UX, usability engineering",,,java
2025-09-24,Java Developer,Cistec,"The Randstad, Netherlands",4304526981,https://nl.linkedin.com/jobs/view/java-developer-at-cistec-4304526981?position=7&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=O2AjmU0oAI9IiDfervJs%2Bg%3D%3D,"Als Java Developer bij Cistec B.V. ondersteun je onze klanten door het ontwerpen, ontwikkelen en optimaliseren van robuuste Java-applicaties. Met jouw expertise draag je bij aan het verbeteren van de codekwaliteit en implementeer je best practices binnen een ontwikkelteam. Daarnaast ben jij een mentor voor collega’s en help je hen om zich verder te ontwikkelen in hun technische carrière.Je werkt in een dynamische Agile/Scrum-omgeving, waar je samenwerkt met verschillende disciplines om klantbehoeften te vertalen naar technische oplossingen. Als Java Developer heb jij de sleutelrol in het realiseren van systemen die schaalbaarheid, veiligheid en efficiëntie combineren.Wat ga je doen?Ontwikkelen en optimaliseren van robuuste en schaalbare Java-applicaties binnen een Agile/Scrum-omgeving.Samenwerken in multidisciplinaire teams om klantbehoeften om te zetten naar technische oplossingen.Actief bijdragen aan de DevOps-cultuur en de automatisering van processen.Bewaken van de codekwaliteit en het implementeren van best practices in softwareontwikkeling.Implementeren en beheren van CI/CD-pipelines.Werken met cloudtechnologieën zoals AWS of Azure om veilige en efficiënte oplossingen te bouwen.Integreren en beheren van containertechnologieën zoals Docker en Kubernetes.Wat kun jij van ons verwachten?Wij gaan voor een langdurige samenwerking, dus je krijgt bij ons direct een vast contract.In ons 70/30-model is je salaris gebaseerd op de opdracht die je uitvoert. Afhankelijk van je niveau is dit bruto tussen de €6000,- en €12.000,-.Flexibiliteit om fulltime of parttime te werken (minimaal 32 uur).Een mobiliteitsbudget van €1.000,-. Dit budget kun je inzetten voor een leaseauto of laten uitbetalen.8% vakantiegeld.Pensioenregeling.Mogelijkheden om via Cistec relevante certificeringen te behalen.Een thuishaven met experts die de passie voor techniek delen en samen zoeken naar een klus die bijdraagt aan jouw ontwikkeling en interesses.Wat breng je mee?Minimaal 5 jaar ervaring als Java Developer.Diepgaande kennis van Java en frameworks zoals Spring, Spring Boot en Hibernate.Ervaring met cloudplatforms zoals AWS of Azure.Ervaring met CI/CD-tools zoals Jenkins, Maven, Azure DevOps Pipelines of vergelijkbaar.Praktische kennis van containertechnologieën zoals Docker, Kubernetes, Podman, OpenShift.Ervaring met Agile/Scrum-methodologieën en DevOps-principes.Uitstekende communicatieve vaardigheden en een proactieve werkhouding.Een passie voor technologie en het voortdurend verbeteren van processen en systemen.Hoe is het om onderdeel te zijn van Cistec?Bij Cistec sta jij centraal. Wij begrijpen wat jij nodig hebt, omdat we als oprichters zelf uit de ICT komen. We weten hoe uitdagend en dynamisch de wereld van IT is, met een overvloed aan opdrachten en kansen. Ons doel is om daarbinnen het verschil te maken door een omgeving te creëren waar jij je écht thuis voelt en waar je kunt groeien – zowel professioneel als persoonlijk.We zien onze samenwerking niet als een standaard werkrelatie, maar als een partnerschap. Bij ons draait het om jouw ontwikkeling. We ondersteunen je met opleidingsmogelijkheden,certificeringen en trainingen die je helpen om het beste uit jezelf te halen. En natuurlijk hoort daar een goed salaris bij, dat groeit naarmate jij groeit. Jouw inzet en ontwikkeling worden bij ons écht gewaardeerd.Daarnaast helpen we je met zorgvuldige begeleiding om een opdracht te vinden die perfect bij jou past. Niet alleen qua technische vaardigheden, maar ook qua persoonlijke ambities en interesses. Op die manier draag je niet alleen bij aan het succes van onze opdrachtgevers, maar ook aan jouw eigen carrière en toekomst.Bij Cistec geloven we dat we samen verder komen. We creëren een hechte community waarin collega’s elkaar inspireren en versterken. Een plek waar je je gesteund voelt, nieuwe uitdagingen met vertrouwen aangaat en met trots terugkijkt op wat je bereikt.",https://nl.linkedin.com/company/cistecitconsulting?trk=public_jobs_jserp-result_job-search-card-subtitle,,niet gespecificeerd,hybrid,minimaal 32 uur,Java,"spring, spring boot, hibernate, jenkins, maven, azure devops pipelines","AWS, Azure, Docker, Kubernetes, Podman, OpenShift",,,java
2025-10-03,Full Stack Developer – Junior (Remote),Business Web Solutions (UK),"Amsterdam, North Holland, Netherlands",4309125323,https://nl.linkedin.com/jobs/view/full-stack-developer-%E2%80%93-junior-remote-at-business-web-solutions-uk-4309125323?position=8&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=TGAfbExxIoIUFpDxi0XX8Q%3D%3D,"At Business Web Solutions, we’re welcoming Full Stack Developer (Entry Level) to help build, refine, and release improvements to real applications. The Internship spans 1 to 6 months depending on availability and contribution. Tasks span UI builds, API endpoints, and database updates using HTML, CSS, JavaScript on the front end and Python, Flask with MySQL on the back end; tools such as VS Code, Postman. Work alongside the build team to scope tasks, track progress, and merge improvements into live projects. We value clarity and reliability—commit readable code, test your changes, and log what you ship. The Internship helps you add credible, real‑project entries to your portfolio and résumé. Ideal for learners wanting hands‑on exposure while contributing to production‑adjacent tasks in a professional setup. Expect to handle bite‑sized tasks, post concise updates, and move items from backlog to done with clear commits.Requirements• Ability to collaborate in virtual teams using tools like Zoom, Slack, or Trello. • Eagerness to learn modern frameworks such as React, Angular, or Django.• A personal computer with stable internet access.• Open to students, graduates, or career switchers.• Comfortable with self-paced online learning.• Basic familiarity with HTML, CSS, and JavaScript.Benefits• Internship certificate & Letter of Recommendation (performance-based). • Certificate of completion at the end of the program.• Networking opportunities with global peers and professionals.• Hands-on training with live projects across front-end and back-end.• Practical learning with industry frameworks such as Django, React, or WordPress.• Opportunity for future full-time consideration based on performance.",https://uk.linkedin.com/company/business-web-solutions-uk?trk=public_jobs_jserp-result_job-search-card-subtitle,,business web solutions,on-site,full-time,"HTML, CSS, JavaScript, Python","vs code, postman","Flask, MySQL",,,"javascript, python"
2025-10-01,Java Software Engineer,Oakwell Hampton Group,"The Randstad, Netherlands",4308943191,https://nl.linkedin.com/jobs/view/java-software-engineer-at-oakwell-hampton-group-4308943191?position=9&pageNum=1&refId=8MI40KC2ne8%2BUsc8YAC6Uw%3D%3D&trackingId=V9mgpc9QMCCOH9XzwVIZoA%3D%3D,"🚀 Java Developer🚀💶 Salary: Up to €7,850 per month + holiday allowance + Bonus📍 Location: Hybrid – Offices across the Netherlands (Amsterdam, Utrecht, Rotterdam, Eindhoven, etc.)Our client has built its reputation on software craftsmanship and engineering excellence. Their teams are made up of highly skilled Java specialists who work on challenging, high-impact projects for some of the most innovative companies in the Netherlands and across Europe.They’re passionate about clean code, continuous learning, and knowledge sharing. Expect to be surrounded by people who are leaders in their field, speaking at conferences and pushing the boundaries of modern Java development.Why You’ll Love It Here💶 Salary Up to €7,850 p/m + 8% holiday allowance💵 End of year bonus (up to 20%)💻 Hybrid working – choose from multiple hubs across NL📚 Training budget, certifications, and conference attendance covered🚗 Company car or mobility allowance🏖️ 25+ holiday days🏆 Work alongside Java Champions and international speakersWhat You’ll DoDesign and develop high-quality, scalable Java solutionsWork with modern frameworks (Spring Boot, Quarkus, Jakarta EE)Apply engineering best practices: TDD, CI/CD, clean architectureCollaborate on greenfield builds and large-scale transformationsShare knowledge – mentoring, code reviews, tech talksWhat We’re Looking ForStrong hands-on Java development experience (5+)Solid understanding of Spring / Spring Boot, Microservices, CI/CDFamiliar with cloud platforms (AWS, GCP, or Azure)Experience with Kubernetes, Docker, Kafka is a plusPassion for clean code and craftsmanshipBoost your career!You’ll be joining a company that gives you the freedom to choose projects, space to experiment, and the tools to keep growing. It’s an environment built on collaboration, autonomy, and knowledge sharing – perfect for developers who want to push their skills to the next level.Apply Today!",https://uk.linkedin.com/company/oakwell-hampton?trk=public_jobs_jserp-result_job-search-card-subtitle,,the randstad,hybrid,nan,nan,,nan,,,
2025-10-13,Java Fullstack Developer (Java & Angular),Spilberg,"Utrecht, Utrecht, Netherlands",4314047270,https://nl.linkedin.com/jobs/view/java-fullstack-developer-java-angular-at-spilberg-4314047270?position=1&pageNum=2&refId=yOr%2FRBhBpYjaYFMWXfFgqw%3D%3D&trackingId=0VQjQMHrAX9Mgbno9%2Fy5BA%3D%3D,"Java Fullstack Developer (Java & Angular) Locatie: Utrecht Salaris: Tot €90.000 per jaar + vakantiegeldOver de functie Wil jij bijdragen aan het makkelijker maken van financiële aanvragen voor klanten? Wij zoeken een ervaren Java Fullstack Developer die processen rondom aanvragen van bijvoorbeeld hypotheken en andere bankproducten eenvoudiger en efficiënter kan maken.Je werkt met Java en Angular in een dynamisch team en bent verantwoordelijk voor het ontwikkelen van gebruiksvriendelijke, schaalbare en onderhoudbare applicaties.Wat ga je doen?Ontwikkelen van nieuwe functionaliteiten in klantgerichte applicaties.Verbeteren en optimaliseren van bestaande processen, zodat aanvragen sneller en eenvoudiger verlopen.Samenwerken met UX-designers, testers en product owners om de klantreis te verbeteren.Meedenken over architectuur en technische keuzes binnen het team.Wat breng je mee?Ervaring met Java (Spring Boot) en Angular.Affiniteit met fullstack ontwikkeling en moderne webtechnologieën.Proactieve houding, kwaliteitsbewustzijn en oog voor gebruikersgemak.Goede communicatieve vaardigheden in het Nederlands en Engels.Wat bieden wij?Een uitdagende baan bij een grote, innovatieve financiële organisatie.Salaris tot €90.000 per jaar (afhankelijk van ervaring) Flexibele werktijden en mogelijkheid tot thuiswerken.Vakantiegeld en goede secundaire arbeidsvoorwaarden.Ruimte voor persoonlijke ontwikkeling en opleidingen.Interesse? Solliciteer vandaag nog en help ons het aanvragen van financiële producten voor klanten eenvoudiger en aangenamer te maken!",https://nl.linkedin.com/company/spilberg-development?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,hybrid,,"Nederlands, Engels",,"Java, Angular",,,
2025-10-05,"Java Engineer - Amsterdam, Nederland (H/F)",Astek,"Amsterdam, North Holland, Netherlands",4274637699,https://nl.linkedin.com/jobs/view/java-engineer-amsterdam-nederland-h-f-at-astek-4274637699?position=4&pageNum=2&refId=yOr%2FRBhBpYjaYFMWXfFgqw%3D%3D&trackingId=7dc3GAucmeH2J5WpUfQ4FQ%3D%3D,"Dit ga je doenIn deze rol als Java Developer ben je verantwoordelijk voor de volledige ontwikkelcyclus van Java-applicaties op ondernemingsniveau. Je werkt samen met het team van ervaren ontwikkelaars en engineers van onze klant om complexe eisen te vertalen naar elegante en innovatieve oplossingen.Dit breng je meeJe speelt een belangrijke rol in het gehele ontwikkelproces, van het definiëren van technische oplossingen tot het opleveren van kwalitatief hoogwaardige oplossingen. Minimaal 5 jaar ervaring met Java, Unit testing en codekwaliteit Ervaring met minimaal Java 11 en bij voorkeur Java 17 of 21 Bewezen ervaring met het bouwen en optimaliseren van API's in veeleisende omgevingen met hoge belasting Ervaring met Agile/Scrum methodiek Ervaring met overheidsprojecten wordt door ons zeer gewaardeerd Java OCP-certificering of vergelijkbaar (NB: uitgebreide werkervaring weegt zwaarder dan certificeringen) Een T-shaped professional: breder inzetbaar dan alleen je kernexpertise Een afgeronde HBO/WO opleiding Uitstekende beheersing van de Nederlandse en Engelse taal Het bezit van een geldige werkstatus voor Nederland; een visum- of werkvergunning wordt niet gesponsordTechnische SkillsErvaring met frameworks en tools zoals onderstaande maakt ons blij: Spring, Spring Boot, Quarkus Jenkins, Jira, IntelliJ Confluence, GitLab, Bitbucket OpenShift (RedHat), Docker, Kubernetes AWS, Azure of GCP Database-ervaring met SQL, JPA, Oracle, MS SQL, MongoDB of CassandraJou weg naar een baan Telefonische/Virtuele kennismaking met een Recruiter 2e gesprek met een Business Unit Manager Een aanbod wat past bij jouw kennis en ervaringDit bieden wij Een vast contract vanaf dag één Een competitief salarispakket afgestemd op jouw ervaring -> wil je alvast een beeld hebben? Neem dan een kijkje naar onze salarismeter 28 vakantiedagen met de mogelijkheid om er 5 bij te kopen Hybride werken, je werkt 1 tot 2 dagen op kantoor bij de klant Een uitstekende pensioenregeling Flexibele mobiliteitsvergoeding voor auto, OV of fiets – of leaseauto Een cafetariaregeling voor aankopen die jou in je werk ondersteunen, denk aan een telefoon, laptop etc. (50% belastingvoordeel) Onbeperkt opleidingsbudget (We vergoeden alle opleidingen en trainingen die bijdragen aan jouw professionele ontwikkeling) Samenwerking met OpenUp: toegang tot gecertificeerde psychologen, workshops en ondersteuning voor jou en je familie Regelmatige teamevents en jaarlijkse internationale trips (We zijn al in Dublin, Mallorca en Lissabon geweest). Dit jaar gaan we naar Barcelona!,",https://fr.linkedin.com/company/astek?trk=public_jobs_jserp-result_job-search-card-subtitle,,nederland,hybrid,niet gespecificeerd,"Nederlands, Engels","spring, spring boot, quarkus, jenkins, jira, intellij, confluence, gitlab, bitbucket, openshift, docker, kubernetes, aws, azure, google cloud","Java, Unit testing, API building, Agile/Scrum, SQL, JPA, Oracle, MS SQL, MongoDB, Cassandra",,,
2025-10-07,Java Software Engineer,SII Group Netherlands,"Hengelo, Overijssel, Netherlands",4310314728,https://nl.linkedin.com/jobs/view/java-software-engineer-at-sii-group-netherlands-4310314728?position=5&pageNum=2&refId=yOr%2FRBhBpYjaYFMWXfFgqw%3D%3D&trackingId=uXX26u3dko5CLJ8mOg3k7Q%3D%3D,"Who we areAt SII Group Netherlands, we are open-minded intellectuals who embrace emerging technologies on our mission to create innovative Software Engineering Solutions that will impact millions of users around the world. As part of the global SII Group, we combine engineering excellence with digital innovation, supporting clients in aerospace, automotive, energy, and high-tech industries.We are looking for:A passionate  Software Engineer to join our dynamic Agile/Scrum team. Your role will involve collaboration with fellow engineers within your sub-domain and other agile teams. You will focus on writing high-quality code and implementing designs per the specifications laid out by our System Engineers and Software Architects, emphasizing security and safety.What you will do:Collaborate within a multidisciplinary, self-organizing Agile/Scrum team.Write code and implement designs based on requirements.Contribute to designing and delivering features while ensuring high quality standards.Engage in all aspects of the development lifecycle, from requirements analysis to product demonstrations.What you must have:Bachelor’s degree in Software Engineering or a related field with proven Java proficiency.Minimum of 5 years of relevant professional experience in Java development.Passionate about technology.Strong team player with a collaborative spirit.Agile/Scrum software developmentProgramming languages: JavaOperating system: LinuxDevelopment environment: IntelliJContinuous Integration & Delivery: Jenkins, Nexus, Maven, GIT, BitBucketTesting frameworks: JUnit, Test Automation, CucumberIf you're eager to contribute to cutting-edge software solutions in a thriving, collaborative environment, we want to hear from you! Join us in shaping the future of technology and engineering.",https://nl.linkedin.com/company/sii-netherlands-b.v.?trk=public_jobs_jserp-result_job-search-card-subtitle,,utrecht,on-site,,Java,"intellij, jenkins, nexus, maven, git, bitbucket, junit, cucumber",Agile/Scrum,,,java
2025-09-18,Senior Java Developer,agap2 Netherlands,"Amsterdam, North Holland, Netherlands",4302185799,https://nl.linkedin.com/jobs/view/senior-java-developer-at-agap2-netherlands-4302185799?position=6&pageNum=2&refId=yOr%2FRBhBpYjaYFMWXfFgqw%3D%3D&trackingId=e1zIr2KEeilsb0p1aarAqA%3D%3D,"About usAgap2 is a European IT and Engineering Consultancy, active in 14 countries with over 9.500 employees. The company was founded in Portugal and since 2014, we are based in the Netherlands with our Amsterdam office to provide our expertise to the Dutch market. Our employees are defined by the so-called “Agapian spirit”, which is summarized in 5 keywords: family, union, friendship, team spirit, and learning.Did you identify with what defines us? Then read on to find out more!The positionAs a Senior Java Developer at agap2, you take on the challenge within an international environment with a local focus. You will have the opportunity to work on various projects over the years, based on your experience and interests. Projects within industries such as Banking, Fintech, Telco, Retail, Sports, and Healthcare.While working at Agap2, you are expected to share your knowledge while also having the opportunity to learn new technologies. We believe that sharing knowledge is the key to personal development. Our talent management program is tailor-made to give you the opportunity to develop and grow in your career, the way you envision it. Because we work with various customers, you are also expected to be able to adapt to different environments.Key ResponsibilitiesAs a Senior Java Developer, you will help shape tomorrow's CRM alongside the software and the team that powers it. Your responsibilities include:Technical Guidance – Define and explain technical requirements, make architecture decisions, and propose solutions to challenges in collaboration with team members and stakeholders.Code Quality & Best Practices – Ensure clean, maintainable, and testable code, uphold coding standards, and conduct code reviews.Scalability & Resilience – Design architectures that scale across multiple countries and regions while ensuring high availability.DevSecOps – Contribute to daily deployments without service interruption, improve monitoring and alerting, enhance security practices, and manage incidents.Technology & Business Acumen – Identify risks and propose technical tradeoffs to meet business goals.Leadership & Collaboration – Lead by example, foster a collaborative culture, mentor team members, and partner with stakeholders to define requirements, plan milestones, and ensure timely delivery.What you bring to the position7+ years of experience as a senior software engineer.Strong expertise in Java (Spring/Spring Boot).Proficiency with relational (PostgreSQL) or NoSQL databases.Experience with software architectures, microservices, APIs, design patterns, event streaming (Kafka), and BDD/TDD.Proven track record in scaling services globally, including load, stress, and performance testing.Familiarity with React (for front-end interfaces integrated with backend services).Coaching and mentoring abilities for high-quality software delivery.Strong knowledge of agile methodologies, CI/CD pipelines, and continuous delivery.Nice to HaveExperience applying Accelerate principles to improve delivery and developer experience.Knowledge of Machine Learning and Data pipelines.Familiarity with Salesforce Marketing Cloud (APIs, SDKs, Journey Builder, Custom ActivityWhat we offerCompetitive Salary & Benefits: Including a laptop, mobile phone, full travel allowance and pension plan.Work-Life Balance: 25 vacation days, flexible working hours in a hybrid mode.Professional Growth: Weekly Dutch classes and a tailored talent management program with a financial budget to help you achieve your professional goals.Dynamic Culture: Diverse team activities from tech meetups to sports and social events.Is there still room for fun? Of course! The combination of fun and development is essential in our team. A small impression: our team consists of more than 10 nationalities, we play paddle and regularly organize tech meetups, happy hours, drinks, and pub quizzes.At agap2 we defend equality and value diversity. We create a safe, diverse environment where opportunities are equal for all employees. All candidates with skills matching the position are welcome to join us!",https://nl.linkedin.com/company/agap2netherlands?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsterdam,hybrid,not specified,"Dutch, English","java, spring/spring boot, postgresql, nosql databases, react, kafka","software architectures, microservices, APIs, design patterns, BDD/TDD, CI/CD pipelines, continuous delivery",,"dutch, english",
2025-10-13,Java Specialist,HCL Technologies B.V. Netherland,"Amsterdam, North Holland, Netherlands",4251781745,https://nl.linkedin.com/jobs/view/java-specialist-at-hcl-technologies-b-v-netherland-4251781745?position=7&pageNum=2&refId=yOr%2FRBhBpYjaYFMWXfFgqw%3D%3D&trackingId=s14nCxXc6%2FFDL5FEMt20Ag%3D%3D,"Job role- Advanced Java Developer with KafkaLocation- Amsaterdam, Netherlands.Job Description:Minimum 6 years of Java software engineering experience (design, develop, and maintain) with a technical architecture mindset ;- Experience in Java 11, JAX RS, Jersey, Spring Boot, other Spring frameworks such as Spring Batch, JPA;- Solid knowledge of continuous integration and continuous delivery using tools such as AzureDevOps, Git, Maven- Strong knowledge about HTTP, REST API’s, mTLS, and JSON is crucial;- Good knowledge of Elastic, and Kafka- Experience to write the Unit Test, Integration tests using Junit, and Karate Framework- More passionate about Open Source technologies- Good knowledge of Linux and Docker- Preferred additional knowledge on Payments domain;- Good communication skills in English;- Strong analytical skills, proactive attitude and always sharing knowledge;- Is passionate about new technologies.",https://www.linkedin.com/company/hcl-technologies-b.v.-netherland?trk=public_jobs_jserp-result_job-search-card-subtitle,,amsaterdam,on-site,,"Java, English","azuredevops, git, maven, linux, docker","Java 11, JAX RS, Jersey, Spring Boot, Spring Batch, JPA, HTTP, REST API’s, mTLS, JSON, Elastic, Kafka, Junit, Karate Framework",,english,java
